Date,Qom,Tehran,Mazandaran,Alborz,Semnan,Golestan,Ghazvin,Esfehan,Fars,Hormozgan,Kohglooye,Chaharmahal,Booshehr,Gilan,Ardebil,Az-Shargi,Az-Gharbi,Kordestan,Zanjan,Markazi,Hamedan,Khoozestan,Kermanshah,Lorestan,Ilam,Khorasan,Sistan-Baloochestan,Yazd,Khorasan-Jonoobi,Kerman,Khorasan-Shomali,New-Case,Sum-Case,New-Death,Sum-Death
18-Feb-20,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2,2,2,2
19-Feb-20,2,,,,,,,,,,,,,,,,,,,1,,,,,,,,,,,,3,5,,2
20-Feb-20,7,4,,,,,,,,,,,,2,,,,,,,,,,,,,,,,,,13,18,2,4
21-Feb-20,8,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,10,28,2,6
22-Feb-20,7,4,1,,,,,,,,,,,2,,,,,,1,,,,,,,,,,,,15,43,2,8
23-Feb-20,8,3,,,,,,2,,,,,,2,,,,,,2,1,,,,,,,,,,,18,61,4,12
24-Feb-20,16,8,2,2,,,,,1,1,,,,2,,,,,,,,,,,,1,,,,,,34,95,3,15
25-Feb-20,15,4,1,,1,,,,2,1,2,,,1,,,,,,1,,3,1,1,,,2,,,,,44,139,4,19
26-Feb-20,7,38,7,3,3,,,8,,,,,,23,5,2,1,1,,,1,,2,3,,1,,1,,,,106,245,7,26
27-Feb-20,16,64,9,3,2,2,2,10,,,,,,25,1,4,,2,,,,3,,,,,,,,,,143,388,8,34
28-Feb-20,21,52,12,8,4,22,6,12,8,,,,,17,3,6,,5,,18,,4,,,1,,1,4,1,,,205,593,9,43
29-Feb-20,30,170,11,31,3,,,13,8,2,,,,28,,,,,,44,3,9,2,8,1,17,2,,2,2,,394,978,11,54
1-Mar-20,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,523,1501,11,54
2-Mar-20,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,835,2336,11,77
3-Mar-20,101,253,9,19,8,9,25,,14,,,1,,35,,9,,4,6,8,,27,15,5,7,8,8,,,14,1,586,2922,15,92
4-Mar-20,32,56,50,61,22,4,31,118,19,2,,8,3,80,17,10,5,6,7,31,6,1,,11,,53,5,,9,,2,591,3513,15,107
5-Mar-20,137,61,180,129,54,67,65,150,13,6,4,5,2,91,11,10,1,24,35,48,7,,5,50,2,,2,50,3,7,12,1234,4747,16,124
6-Mar-20,145,126,305,3,24,58,2,96,14,11,,2,3,70,1,2,22,2,2,37,11,1,4,27,2,46,13,24,,15,8,1076,5823,21,145
7-Mar-20,17,266,14,2,37,13,29,80,9,5,3,5,2,2,9,30,7,19,1,70,26,5,2,37,,19,,6,26,1,1,743,6566,49,194
8-Mar-20,27,140,13,,45,,40,37,29,17,,5,1,28,22,22,29,3,15,54,,4,11,7,16,29,,3,-7,-5,10,595,7161,43,237
9-Mar-20,39,169,253,32,1,4,10,17,18,17,2,11,7,,19,17,4,12,11,27,17,37,7,25,25,39,6,37,14,4,,881,8042,54,291
10-Mar-20,53,256,32,45,63,9,27,170,19,10,0,1,0,5,1,29,27,6,22,31,7,17,8,9,6,34,4,23,15,18,11,958,9000,63,354
11-Mar-20,42,303,79,74,40,25,42,4,29,,15,11,3,84,14,7,19,9,17,88,12,31,20,25,7,29,6,21,12,7,,1075,10075,75,429
12-Mar-20,42,303,192,6,38,21,12,110,33,4,0,0,0,71,15,97,25,9,20,48,10,15,15,25,8,110,2,46,0,12,0,1289,11364,85,514
13-Mar-20,32,347,17,134,47,,47,155,11,,,,7,113,33,59,31,5,31,115,7,48,8,2,6,30,2,73,4,,1,1365,12729,97,611
14-Mar-20,84,251,72,67,41,25,22,126,9,7,1,,6,43,,36,18,27,32,,11,32,13,52,18,143,6,36,18,7,6,1209,13938,113,724
15-Mar-20,19,200,96,49,34,42,40,118,43,16,5,3,4,18,30,35,31,31,15,14,12,53,16,,2,,11,51,7,13,45,1053,14991,129,853
16-Mar-20,29,273,59,116,33,30,26,75,31,6,,2,4,45,19,78,34,2,25,47,11,25,9,35,7,63,11,49,12,19,3,1178,16169,135,988
17-Mar-20,22,213,61,76,60,20,53,162,60,12,13,4,4,21,10,84,42,22,20,23,13,28,7,39,10,30,6,45,21,11,,1192,17361,147,1135
18-Mar-20,31,137,58,61,16,9,47,108,21,5,15,3,8,73,16,58,26,11,26,47,3,22,23,37,8,50,18,69,5,14,21,1046,18407,149,1284
19-Mar-20,36,220,84,95,52,15,8,145,50,17,1,3,1,99,35,55,27,15,44,17,5,10,22,9,20,48,8,49,18,12,17,1237,19644,149,1433
20-Mar-20,20,232,28,55,,6,59,101,22,,12,2,,57,6,72,14,7,35,,5,31,27,34,18,57,5,52,,8,1,966,20610,123,1556
